region,province,speaker,gender,filename,text
North,CaoBang,spk_11_0001,1,North_CaoBang_spk_11_0001_11_0001.wav,"Nghiên cứu học tập,các ứng dụng các khoa học công nghệ và những dụng tiên tiến để đưa vào trong áp dụng trong công việc của mình. Từ đó giúp chuyển đổi những cái khó khăn trong công việc, đưa ra những thuận lợi và những cái nhanh gọn hơn giải quyết các thủ tục hành chính cho được thuận tiện hơn."
North,CaoBang,spk_11_0002,1,North_CaoBang_spk_11_0002_11_0003.wav,"Trong quá trình mình làm việc để quản lý thông tin các vật tư thiết bị của công ty điện lực Cao Bằng, cá nhân tôi cảm thấy phần quản lý vật tư thiết bị còn chưa khoa học, rời rạc, không tập trung, mất nhiều thời gian tìm kiếm để nâng cao hiệu quả công việc, rút ngắn thời gian tìm kiếm, phục vụ công việc, kiểm kê, nhanh chóng, chính xác, an toàn nên tôi đã xây dựng ý tưởng này."
North,CaoBang,spk_11_0003,0,North_CaoBang_spk_11_0003_11_0006.wav,"Em rất là tự hào vì năm đầu tiên em được tham gia Lấy Rương Nước. Qua Lấy Rương Nước là em rất tự hào về giá trị của truyền thống, văn hóa, địa phương."
North,CaoBang,spk_11_0004,0,North_CaoBang_spk_11_0004_11_0007.wav,"Em cảm thấy rất là tự hào và qua cái lễ hội, lễ rước nước này đã giúp cho mọi người cầu một cái mùa màng bội thu. Qua lễ rước nước này em hiểu về những cái giá trị về dân tộc ạ, văn hóa dân tộc ạ. Em cảm thấy lễ nước nước rất là ý nghĩa. Là một tín ngưỡng rất thiêng liêng ạ!"
North,CaoBang,spk_11_0005,1,North_CaoBang_spk_11_0005_11_0008.wav,Năm nay thì Cao Trương tôi thì cũng chuẩn bị những cái đặc sản của địa phương như miến rong này xong gạo nếp thơm với lại cả những cái trang phục truyền thống của quê hương tôi thì đến đây cũng mong muốn là quảng bá sản phẩm quê hương tôi đến với lại cả các anh em thứ nhất là trong huyện với lại cả toàn tỉnh thì các sản phẩm được vươn xa hơn để nhiều du khách biết đến
North,LangSon,spk_12_0001,1,North_LangSon_spk_12_0001_12_0001.wav,"Gia đình tôi có bốn người con, có hai đứa đi lấy chồng nhưng mà đủ tuổi mới đi lấy chồng. Xã được tuyên truyền tảo hôn thì gia đình tôi cho đi lấy chồng. hai mốt, hai hai tuổi mới đi lấy chồng. Gia đình tôi thực hiện đúng theo pháp luật của nhà nước."
North,LangSon,spk_12_0002,0,North_LangSon_spk_12_0002_12_0002.wav,"Trong thời gian qua thì đoàn thanh niên cũng thực hiện về phối hợp cùng các ban ngành về tuyên truyền, về phòng chống tảo hôn cũng như là kết hôn cận huyết thống thì cũng thực hiện trên, triển khai trên các địa bàn thôn Tuy nhiên thì cũng trong thời gian thực hiện cũng có nhiều khó khăn do dân trí ở đây thì cũng một số gia đình còn thấp Thế thì phải cũng phải phối hợp với các ban ngành trực tiếp đi đến những hộ gia đình đấy để thực hiện tuyên truyền mới có hiệu quả"
North,LangSon,spk_12_0003,1,North_LangSon_spk_12_0003_12_0003.wav,"nghiêm theo quy định của pháp luật rồi là gắn với trách nhiệm đối với đặc biệt là cán bộ đảng viên mà có tham gia đám cưới tảo hôn rồi là gia đình có tổ chức thì chắc chắn cũng phải xử lý nghiêm, đặc biệt là theo những cái điều đảng viên không được làm tham gia vào vấn đề là cưới tảo hôn"
North,LangSon,spk_12_0004,1,North_LangSon_spk_12_0004_12_0005.wav,"Tình hình trật tự an toàn giao thông trên địa bàn tỉnh Lạng Sơn nói chung và đặc biệt là trên địa bàn quốc lộ một A đi qua địa bàn Tùng diễn có nhiều điều diễn phức tạp đặc biệt là những cái tháng cuối năm là lưu lượng phương tiện tham gia giao thông khá đông do nhu cầu phát triển kinh tế của người dân nên xe ô tô kinh doanh hành khách, kinh doanh vận tải hành khách và xe ô tô kinh doanh vận tải hàng hóa bằng xe container đã"
North,LangSon,spk_12_0005,1,North_LangSon_spk_12_0005_12_0009.wav,qua cái đoạn đường đèo quanh co cua thì trời mưa thì nó sẽ hay sạt lở nhất là đi chậm thì sẽ quan sát được nếu mà sạt lở mình còn tránh qua cái đoạn đấy thì nó cũng cua khá nhiều cua gấp nên là đi chậm nó an toàn hơn
